Architecture,size,test_acc,test_f1,total_epochs,best_epoch,epoch_time,time_min,inference_ms,peak_mem_gb
KAN (B-Spline),base,91.45 ± 0.01,91.41 ± 0.00,5.00 ± 0.00,2.00 ± 0.00,207.22 ± 0.12,18.87 ± 0.59,1.83 ± 0.00,5.58 ± 0.01
KAN (B-Spline),small,91.75 ± 0.26,91.73 ± 0.27,4.67 ± 0.58,1.67 ± 0.58,88.61 ± 0.17,8.28 ± 1.44,1.42 ± 0.01,2.51 ± 0.01
KAN (B-Spline),tiny,91.84 ± 0.13,91.82 ± 0.12,5.00 ± 0.00,2.00 ± 0.00,51.81 ± 0.06,5.20 ± 0.00,1.41 ± 0.01,1.16 ± 0.00
KAN (GR-KAN),base,91.96 ± 0.05,91.93 ± 0.04,4.67 ± 0.58,1.67 ± 0.58,204.90 ± 0.39,20.19 ± 0.98,3.33 ± 0.02,5.36 ± 0.00
KAN (GR-KAN),small,91.70 ± 0.28,91.67 ± 0.27,5.00 ± 0.00,2.00 ± 0.00,91.49 ± 0.95,11.50 ± 1.75,3.24 ± 0.13,7.90 ± 0.00
KAN (GR-KAN),tiny,91.79 ± 0.17,91.78 ± 0.16,5.67 ± 1.15,2.67 ± 1.15,55.37 ± 0.20,6.51 ± 0.93,0.86 ± 0.01,0.99 ± 0.00
KAN (Mean),base,91.38 ± 0.05,91.34 ± 0.05,5.33 ± 0.58,2.33 ± 0.58,206.35 ± 0.24,19.78 ± 1.90,1.83 ± 0.00,5.59 ± 0.00
KAN (Mean),small,91.75 ± 0.16,91.74 ± 0.17,5.00 ± 0.00,2.00 ± 0.00,88.26 ± 0.14,8.68 ± 0.62,1.43 ± 0.00,2.51 ± 0.00
KAN (Mean),tiny,91.81 ± 0.07,91.78 ± 0.06,5.33 ± 0.58,2.33 ± 0.58,51.54 ± 0.05,5.49 ± 0.51,1.42 ± 0.01,1.16 ± 0.00
MLP,base,91.63 ± 0.10,91.62 ± 0.09,5.33 ± 0.58,2.33 ± 0.58,193.10 ± 0.40,18.10 ± 1.80,1.09 ± 0.00,5.00 ± 0.01
MLP,small,91.83 ± 0.14,91.83 ± 0.14,5.33 ± 0.58,2.33 ± 0.58,76.66 ± 0.15,7.52 ± 0.66,0.87 ± 0.00,2.05 ± 0.00
MLP,tiny,91.65 ± 0.08,91.63 ± 0.08,5.00 ± 0.00,2.00 ± 0.00,43.02 ± 0.09,4.09 ± 0.01,0.90 ± 0.01,0.90 ± 0.00
MLP (B-Spline),base,91.47 ± 0.33,91.43 ± 0.35,5.33 ± 1.15,2.33 ± 1.15,247.14 ± 0.17,24.04 ± 5.28,1.64 ± 0.01,11.90 ± 0.00
MLP (B-Spline),small,91.45 ± 0.02,91.41 ± 0.02,4.33 ± 0.58,1.33 ± 0.58,121.39 ± 0.14,10.27 ± 1.08,1.21 ± 0.00,5.49 ± 0.00
MLP (B-Spline),tiny,91.64 ± 0.22,91.63 ± 0.23,4.67 ± 0.58,1.67 ± 0.58,65.99 ± 0.03,5.94 ± 0.66,1.09 ± 0.01,2.62 ± 0.00
