size,arch,sparsity_mean,sparsity_std,std_mean,std_std,l1_norm_mean,l1_norm_std,kan_ratio_mean,kan_ratio_std,n_params_first
tiny,mlp,0.2786,0.0013,0.0374,0.0001,0.0273,0.0,,,3538944
tiny,mlp_bspline,0.251,0.0005,0.0424,0.0001,0.0284,0.0,,,3686400
tiny,kan_bspline,0.741,0.0015,0.0166,0.0,0.0091,0.0,4.5273,0.0342,3193344
tiny,kan_mean,0.6606,0.0101,0.1231,0.0053,0.0386,0.0016,15.492,0.5521,3193344
tiny,kan_grkan,0.291,0.0045,0.0285,0.0004,0.0222,0.0003,,,3540864
small,mlp,0.2632,0.001,0.0323,0.0001,0.0251,0.0001,,,14155776
small,mlp_bspline,0.2696,0.0031,0.0377,0.0002,0.0254,0.0002,,,14450688
small,kan_bspline,0.8074,0.0029,0.0138,0.0001,0.0072,0.0001,5.9987,0.1665,12773376
small,kan_mean,0.8922,0.0005,0.0294,0.0031,0.0071,0.0005,82.1084,9.1353,12773376
small,kan_grkan,0.2729,0.0102,0.0293,0.0011,0.0232,0.0009,,,14157696
base,mlp,0.3004,0.002,0.0269,0.0002,0.0212,0.0002,,,56623104
base,mlp_bspline,0.3,0.0006,0.028,0.0,0.0217,0.0,,,57212928
base,kan_bspline,0.8826,0.0018,0.0116,0.0001,0.0049,0.0001,11.6365,0.3084,50927616
base,kan_mean,0.918,0.0001,0.0076,0.0,0.0023,0.0,80.0731,3.1608,50927616
base,kan_grkan,0.31,0.0031,0.0254,0.0003,0.0202,0.0002,,,56625024
